Date,Time,Lon,Lat,Temp (degrees),PMC 1.0 (ug/m3),PMC 2.5 (ug/m3),PMC 10.0 (ug/m3),Turbidity LDR voltage
20-07-29,11:29:07,-5.051480000000001,50.16411833333333,15.75,0,0,0,1.843359375
20-07-29,11:29:08,-5.05149,50.16411333333333,15.75,0,0,0,1.8304687499999999
20-07-29,11:29:09,-5.051496666666667,50.16410666666667,15.8125,0,0,0,1.8498046874999998
20-07-29,11:29:10,-5.051505000000001,50.16410166666667,15.8125,0,0,0,1.85302734375
20-07-29,11:29:11,-5.051513333333333,50.164095,15.8125,0,0,0,1.843359375
20-07-29,11:29:12,-5.05152,50.16409,15.75,0,0,0,1.84013671875
20-07-29,11:29:13,-5.051526666666667,50.16408666666667,15.8125,0,0,0,1.82080078125
20-07-29,11:29:14,-5.0515316666666665,50.16408166666667,15.8125,0,0,0,1.8336914062499998
20-07-29,11:29:15,-5.051536666666666,50.16407833333334,15.8125,0,0,0,1.8336914062499998
20-07-29,11:29:16,-5.051541666666667,50.16407333333333,15.8125,0,0,0,1.843359375
20-07-29,11:29:17,-5.05155,50.16406666666666,15.8125,0,0,0,1.843359375
20-07-29,11:29:21,-5.051576666666667,50.16404666666666,15.875,0,0,0,1.843359375
20-07-29,11:29:22,-5.051585,50.16404166666667,15.875,0,0,0,1.843359375
20-07-29,11:29:25,-5.0516016666666665,50.16402666666666,15.9375,0,1,2,1.843359375
20-07-29,11:29:26,-5.051608333333333,50.16402,15.9375,0,0,2,1.843359375
20-07-29,11:29:27,-5.051611666666667,50.16401333333334,15.9375,0,0,2,1.8304687499999999
20-07-29,11:29:28,-5.051618333333334,50.16400666666666,15.9375,0,0,2,1.8240234375
20-07-29,11:29:29,-5.051623333333334,50.16400166666666,15.9375,0,0,2,1.8369140625
20-07-29,11:29:30,-5.051628333333333,50.16399666666667,15.9375,0,0,2,1.8304687499999999
20-07-29,11:29:31,-5.051633333333333,50.16399166666667,15.9375,0,0,2,1.8369140625
20-07-29,11:29:32,-5.05164,50.16398666666666,15.9375,0,0,2,1.8336914062499998
20-07-29,11:29:33,-5.051645,50.16398166666666,15.9375,0,0,2,1.8369140625
20-07-29,11:29:34,-5.0516483333333335,50.16397666666667,15.9375,0,0,2,1.8369140625
20-07-29,11:29:36,-5.051658333333333,50.163965000000005,15.875,0,0,2,1.82724609375
20-07-29,11:29:37,-5.051663333333333,50.163959999999996,15.875,0,0,2,1.8336914062499998
20-07-29,11:29:38,-5.051668333333334,50.163955,15.875,0,0,2,1.8336914062499998
20-07-29,11:29:39,-5.0516733333333335,50.16394833333333,15.875,0,0,2,1.8336914062499998
20-07-29,11:29:40,-5.051678333333333,50.16394333333334,15.875,1,1,1,1.8336914062499998
20-07-29,11:29:41,-5.051683333333333,50.16393833333333,15.875,0,0,0,1.8336914062499998
20-07-29,11:29:42,-5.051688333333333,50.16393333333333,15.875,0,0,0,1.8336914062499998
20-07-29,11:29:43,-5.051693333333334,50.16392666666667,15.875,0,0,0,1.8336914062499998
20-07-29,11:29:44,-5.051698333333333,50.16392166666667,15.875,0,0,0,1.8336914062499998
20-07-29,11:29:45,-5.051705,50.16391666666666,15.875,0,0,0,1.8336914062499998
20-07-29,11:29:46,-5.05171,50.163909999999994,15.9375,0,0,1,1.8336914062499998
20-07-29,11:29:47,-5.051715,50.163905,15.9375,0,0,1,1.8336914062499998
20-07-29,11:29:48,-5.051721666666666,50.1639,15.9375,0,0,1,1.8369140625
20-07-29,11:29:49,-5.051728333333333,50.163895000000004,15.9375,0,0,1,1.8336914062499998
20-07-29,11:29:50,-5.051736666666667,50.16389,15.875,0,0,1,1.8336914062499998
20-07-29,11:29:51,-5.0517433333333335,50.163885,15.875,0,0,1,1.85947265625
20-07-29,11:29:52,-5.051751666666667,50.16387833333334,15.875,0,0,1,1.8304687499999999
20-07-29,11:29:53,-5.051756666666667,50.16387333333334,15.875,0,0,1,1.8626953124999999
20-07-29,11:29:54,-5.051763333333334,50.163866666666664,15.875,0,0,1,1.8369140625
20-07-29,11:29:55,-5.051771666666666,50.16386333333333,15.875,0,0,1,1.8369140625
20-07-29,11:29:56,-5.051778333333333,50.16385833333333,15.875,0,0,1,1.8336914062499998
20-07-29,11:29:57,-5.051785,50.16385333333334,15.875,0,0,1,1.84013671875
20-07-29,11:29:58,-5.0517916666666665,50.16384666666666,15.875,0,0,1,1.84013671875
20-07-29,11:29:59,-5.051794999999999,50.16384166666667,15.875,1,1,1,1.84013671875
20-07-29,11:30:00,-5.0518,50.16383666666667,15.8125,0,0,0,1.84013671875
20-07-29,11:30:01,-5.051805,50.16383166666667,15.8125,0,0,0,1.84013671875
20-07-29,11:30:02,-5.051811666666667,50.16382666666666,15.8125,0,0,0,1.84013671875
20-07-29,11:30:03,-5.051818333333333,50.163821666666664,15.8125,0,0,0,1.84013671875
20-07-29,11:30:04,-5.051823333333333,50.16381666666667,15.8125,0,0,0,1.84013671875
20-07-29,11:30:05,-5.051831666666667,50.16381166666667,15.8125,0,0,0,1.84013671875
20-07-29,11:30:08,-5.051855000000001,50.163795,15.75,0,0,0,1.843359375
20-07-29,11:30:09,-5.051863333333333,50.163790000000006,15.75,0,0,0,1.8175781249999998
